date,player_a,player_b,score_a,score_b
2023-01-14,Matt Stark,Chris Sutton,2,3
2023-01-14,Joel Slatter TW,Graham Moody,3,1
2023-01-14,Barry Hensler,Tim Olsen,2,3
2023-01-14,Alex Larkins,Brett Broderick,0,3
2023-01-14,James Buchanan,Sue McCord,0,3
2023-01-14,John Pettinato,Thomas Darcy,3,0
2023-01-14,Terence Mudge,Adam Power,3,0
2023-01-14,Brett King,Karen Mudford,3,0
2023-01-14,Brendan Schumann,Al Vo,0,3
2023-01-14,Marlon Jackson,Richelle Dickson,2,3
2023-01-14,Wayne Bishop,Samuel Southwell,0,3
2023-01-14,Angeline Hall,Hayley Schopp,3,2
2023-01-14,Gavin Prior,Peter Smith,0,3
2023-01-14,Luber Giraldo,Ben Middleton,3,0
2023-01-14,Andrew Grueff,Mary Bock,3,2
2023-01-14,Jay Windross,Clayton Moore,3,1
2023-01-14,Mark Doolan,Tommy Punton,3,2
2023-01-14,Brody Richards,Vince Lee,3,0
2023-01-14,Troy Mottershead,Travis Speare,3,1
2023-01-14,Katie Alifrangis,Joshua Hands,0,3
2023-01-14,Len Stein,Chris Sutton,3,0
2023-01-14,Joel Slatter TW,Tim Olsen,0,3
2023-01-14,Brett Broderick,Sue McCord,2,3
2023-01-14,John Pettinato,Terence Mudge,3,1
2023-01-14,Brett King,Al Vo,1,3
2023-01-14,Brett Lapham,Richelle Dickson,3,1
2023-01-14,Daniel Dickson,Angeline Hall,3,1
2023-01-14,John Scarborough,Peter Smith,1,3
2023-01-14,Beau Young,Luber Giraldo,0,3
2023-01-14,Robbie Kajewski,Andrew Grueff,1,3
2023-01-14,Jayden Dinga,Jay Windross,0,3
2023-01-14,George Bott,Mark Doolan,3,2
2023-01-14,Kerry Spengler,Brody Richards,3,0
2023-01-14,Mark Wood,Troy Mottershead,3,2
2023-01-14,Barry Scarborough,Joshua Hands,2,3
2023-01-14,Cooper Hawley,Len Stein,2,3
2023-01-14,Mikey Collins,Tim Olsen,1,3
2023-01-14,Craig Stubbin,Sue McCord,3,2
2023-01-14,Jesse Richards,John Pettinato,0,3
2023-01-14,Nick Pilat,Al Vo,3,2
2023-01-14,Brett Lapham,Samuel Southwell,2,3
2023-01-14,Daniel Dickson,Peter Smith,3,2
2023-01-14,Luber Giraldo,Andrew Grueff,3,1
2023-01-14,Jay Windross,George Bott,3,0
2023-01-14,Kerry Spengler,Mark Wood,3,1
2023-01-14,Joshua Hands,Len Stein,3,2
2023-01-14,Tim Olsen,Craig Stubbin,3,2
2023-01-14,John Pettinato,Nick Pilat,3,1
2023-01-15,Mike Stone,Samuel Southwell,1,3
2023-01-15,Neil Armstrong,Daniel Dickson,3,2
2023-01-15,Aaron Hall,Luber Giraldo,2,3
2023-01-15,Jason Rose,Jay Windross,2,3
2023-01-15,Matt Harmon,Kerry Spengler,1,3
2023-01-15,Brent Read,Joshua Hands,0,3
2023-01-15,Ed Dinga,Tim Olsen,2,3
2023-01-15,Josh Craze,John Pettinato,3,1
2023-01-15,Samuel Southwell,Neil Armstrong,1,3
2023-01-15,Luber Giraldo,Jay Windross,1,3
2023-01-15,Kerry Spengler,Joshua Hands,0,3
2023-01-15,Tim Olsen,Josh Craze,1,3
2023-01-15,JJ Spink,Neil Armstrong,3,0
2023-01-15,Dale Smith,Jay Windross,2,3
2023-01-15,Justin Thursby,Joshua Hands,3,1
2023-01-15,Olan O'Mahony,Josh Craze,3,2
2023-01-15,JJ Spink,Jay Windross,1,3
2023-01-15,Justin Thursby,Olan O'Mahony,3,0
2023-01-15,Christopher Sourris,Jay Windross,2,3
2023-01-15,Nathan Appleton,Justin Thursby,3,2
2023-01-15,Jay Windross,Nathan Appleton,3,1
2023-01-15,Adam Grabish,Jay Windross,3,1
2023-01-15,Justin Sajich,Adam Grabish,5,1
